Poshmark Sales Report for @omclosetgalore,"","",!ambassador sue,👩🏻‍💻!
12/31/2019 - 08/30/2026
Notes:
"** Only completed sales, where you have received earnings, are shown in this file."
** Bundles are displayed as itemized listings.
"** Order price for a bundle item is the listing price, minus the bundle discount or the offer discount, if either was applied."
"** Lowest set price is the lowest historical price set by the seller, not including offer or bundle discounts."
"** Seller shipping discount for an individual bundle item is the bundle item price, divided by the total bundle price, multiplied by the seller shipping discount for the total bundle."
"** Net earnings is order price, minus the seller shipping discount, minus Poshmark fees, minus tax if applicable."
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
"** If sales tax was collected from the buyer, it will be submitted to the state on your behalf. Please see Terms of Service for full details."
""
Listing Date,Order Date,SKU,Order Id,Listing Title,Department,Category,Subcategory,Brand,Color,Size,Bundle Order?,Offer Order,NWT,Cost Price,Order Price,Lowest Set Price,Seller Shipping Discount,Upgraded Shipping Label Fee,Packaging Fee,Hazmat Noncompliance Fee,Overweight Label Fee,Your Earnings,Buyer State,Buyer Zip Code,Buyer Username,Sales Tax (Paid by Buyer),Notes,Other Info
08/19/2021,08/19/2021,"",611effdf468232e3abdd15e7,"Frye Sophie Crossbody, Natural",Women,Bags,Crossbody Bags,Frye,Cream,OS,N,N,N,"",$160.00,$160.00,$7.45,$0.00,$0.00,$0.00,$0.00,$120.55,MA,02780,cserpa8,$10.00,$0.00,"",
07/13/2021,08/22/2021,"",6122f7be93a1e96dc61c4e4a,NEW Frye Melissa Camera Crossbody - Beige,Women,Bags,Crossbody Bags,Frye,"Cream,Tan",OS,N,Y,N,"",$125.00,$170.00,$2.46,$0.00,$0.00,$0.00,$0.00,$97.54,OK,73566,ninakaynel,$11.26,$0.00,"",
08/19/2021,08/25/2021,"",6126d44aafe96b11ae4318f7,"🆕Zara Faux Fur Biker Jacket, BLACK, Med",Women,Jackets & Coats,Leather Jackets,Zara,Black,M,N,Y,Y,"",$70.00,$120.00,$7.45,$0.00,$0.00,$0.00,$0.00,$48.55,NJ,07760,schwebzy,$0.00,$0.00,This sale is exempt from sales tax.,
07/10/2021,08/24/2021,"",61252dece0b7c74ecd6a244f,"Frye Melissa Snap Button Wallet - small, Dk Brwn",Women,Bags,Wallets,Frye,Brown,OS,N,N,N,"",$100.00,$100.00,$2.46,$0.00,$0.00,$0.00,$0.00,$77.54,TX,79756,wandanelms,$7.61,$0.00,"",
08/10/2021,08/27/2021,"",612945833a1c12d85a16e5a9,Frye Ilana Tote - Cognac,Women,Bags,Totes,Frye,"Brown,Tan",OS,N,Y,N,"",$145.00,$208.00,$7.45,$0.00,$0.00,$0.00,$0.00,$108.55,TN,37709,klhurst,$14.14,$0.00,"",
07/28/2021,08/25/2021,"",6126d43521dac713224f0671,Frye Melissa Double Zip Crossbody - Slate,Women,Bags,Crossbody Bags,Frye,"Brown,Gray",OS,N,Y,N,"",$90.00,$150.00,$7.45,$0.00,$0.00,$0.00,$0.00,$64.55,MO,64055,debbiejwilson,--,,State does not currently impose a sales tax.,
08/17/2021,08/29/2021,"",612c0046528779452253f4af,"🆕wob Birdies Horse/fur slide, wht/orange, Sz 6",Women,Shoes,Mules & Clogs,Birdies,"Orange,White",6,N,Y,N,"",$58.00,$85.00,$7.45,$0.00,$0.00,$0.00,$0.00,$38.95,IL,60622,sundownd,$5.96,$0.00,"",
08/10/2020,08/31/2021,"",612e8144ca8664d3f30c2a81,Frye Anna cosmetic/toiletry bag - Red,Women,Bags,Cosmetic Bags & Cases,Frye,Red,OS,N,Y,N,"",$45.00,$90.00,$0.00,$0.00,$0.00,$0.00,$0.00,$36.00,MD,21919,stippy134,$2.70,$0.00,"",
07/14/2021,08/30/2021,"",612d2bf9528779880fd37620,Frye Melissa Satchel/Cognac (pic w/model not sale),Women,Bags,Satchels,Frye,Brown,OS,N,Y,N,"",$250.00,$278.00,$2.46,$0.00,$0.00,$0.00,$0.00,$197.54,TX,76537,casey_lynn4517,$21.04,$0.00,"",
08/28/2021,08/29/2021,"",612c39b56afdc3f519a02c3b,"Calvin Klein Heel sandal, silver/gold, Sz 6",Women,Shoes,Sandals,Calvin Klein,"Silver,Gold",6,N,Y,N,"",$28.00,$45.00,$1.50,$0.00,$0.00,$0.00,$0.00,$20.90,PA,15062,ambassadorusa,$0.00,$0.00,This sale is exempt from sales tax.,
08/18/2021,08/31/2021,"",612ec9353169b23fd842837c,🆕Frye Travel Flask // redwood (great gift!),Home,Other,"",Frye,"Brown,Silver",OS,N,Y,Y,"",$40.00,$50.00,$7.45,$0.00,$0.00,$0.00,$0.00,$24.55,TX,75476,skyygirl,$2.70,$0.00,"",
08/17/2021,08/29/2021,"",612b83714ef5625407e670ec,"🆕Vionic Mason driving mic, Sz 9, black",Men,Shoes,Loafers & Slip-Ons,Vionic,Black,9,N,Y,N,"",$60.00,$70.00,$0.00,$0.00,$0.00,$0.00,$0.00,$48.00,MD,21076,eallen4414,$3.60,$0.00,"",
08/18/2021,08/30/2021,"",612d2c7323ff46072d010a79,"🆕wob Frye Kelly Combat Inside Zip, Brown, Sz 6",Women,Shoes,Combat & Moto Boots,Frye,Brown,6,N,Y,N,"",$95.00,$120.00,$7.45,$0.00,$0.00,$0.00,$0.00,$68.55,TN,37923,amyhuskey,$8.79,$0.00,"",
08/28/2021,08/31/2021,"",612edbb993a1e91ae9b22b6f,"🆕wob Dansko embroidery clog, brown, Sz 37",Women,Shoes,Mules & Clogs,Dansko,"Tan,Brown",37EU,N,Y,N,"",$35.00,$50.00,$1.50,$0.00,$0.00,$0.00,$0.00,$26.50,FL,34142,mcurtright123,$2.87,$0.00,"",
08/21/2021,09/05/2021,"",613534a5a00e17711a922cd5,"🆕Aquatalia Gisele OTK Boot, 11, BLK",Women,Shoes,Over the Knee Boots,Aquatalia,Black,11,N,Y,N,"",$185.00,$230.00,$0.00,$0.00,$0.00,$0.00,$0.00,$148.00,NY,10029,calmallama,$17.09,$0.00,"",
09/12/2020,09/05/2021,"",61339da32acc7393e78ce937,Frye Carson Tote - blk/white,Women,Bags,Totes,Frye,"Black,White",OS,N,Y,N,"",$85.00,$128.00,$1.50,$0.00,$0.00,$0.00,$0.00,$66.50,CO,80113,laurie_m,$6.60,$0.00,"",
08/09/2021,09/04/2021,"",6128eac4e805235a26c16ab6,💫🌟HP ITEM!💫⭐️ 🥳 🆕Frye Melissa Hobo - wine,Women,Bags,Hobos,Frye,Purple,OS,N,Y,N,"",$150.00,$210.00,$0.00,$0.00,$0.00,$0.00,$0.00,$120.00,PA,16105,jslinn100,$9.00,$0.00,"",
08/26/2021,09/05/2021,"",6135a1b3aa5427be45cb605e,"🆕Frye Logan Backpack, cognac",Men,Bags,Backpacks,Frye,Brown,OS,N,Y,Y,"",$280.00,$350.00,$1.50,$0.00,$0.00,$0.00,$0.00,$222.50,CO,80538,xbones_n_caviar,$18.76,$0.00,"",
09/15/2020,09/05/2021,"",61357ae15c6ef6b596db74a9,"🆕Frye Melissa Mini Whipstitch Saddle, Cognac",Women,Bags,Crossbody Bags,Frye,Brown,OS,N,Y,Y,"",$100.00,$168.00,$0.00,$0.00,$0.00,$0.00,$0.00,$80.00,CA,95404,christmasnoel,$9.25,$0.00,"",
09/07/2021,09/08/2021,"",613968a7584b3d14ddd7014d,Frye Melissa Hobo - Cognac,Women,Bags,Hobos,Frye,Brown,OS,N,Y,N,"",$145.00,$195.00,$1.50,$0.00,$0.00,$0.00,$0.00,$114.50,GA,30728,mwmwmw123,$12.08,$0.00,"",
08/22/2019,09/12/2021,"",613ec282a1d413d0c84ed959,🆕 FRYE Cameron IPad Sleeve - Dark Brown,Women,Accessories,Tablet Cases,Frye,Brown,OS,N,N,Y,"",$68.00,$68.00,$7.45,$0.00,$0.00,$0.00,$0.00,$46.95,GA,30121,kuklakimu,$4.76,$0.00,"",
09/08/2021,09/16/2021,"",61435462fdea1b82d7fc4538,Frye Melissa Hobo - Cognac,Women,Bags,Hobos,Frye,Brown,OS,N,Y,N,"",$170.00,$215.00,$1.50,$0.00,$0.00,$0.00,$0.00,$134.50,NJ,08505,shopdlb,$11.65,$0.00,"",
09/09/2021,09/16/2021,"",61442167509fa85a73b22b50,"Chippewa boots, black, Sz 10",Men,Shoes,Boots,Chippewa,Black,10,N,Y,N,"",$75.00,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$60.00,CA,92881,kristianquiocho,$6.57,$0.00,"",
09/05/2021,09/21/2021,"",6149cfc05e0ba8fc481d37bf,"🆕Vionic Sneaker Adley, Sz 7, blue",Women,Shoes,Sneakers,Vionic,Blue,7,N,Y,Y,"",$60.00,$85.00,$2.46,$0.00,$0.00,$0.00,$0.00,$45.54,IL,60914,ninagravelle,$4.06,$0.00,"",
08/16/2021,09/23/2021,"",614c5c38a1d41363d6c7988b,"🆕Vionic Malcolm High Top sneaker, brown, Sz 11",Men,Shoes,Sneakers,Vionic,Brown,11,N,Y,N,"",$45.00,$62.00,$7.45,$0.00,$0.00,$0.00,$0.00,$28.55,CT,06825,aprilburg14,$2.86,$0.00,"",
08/20/2021,09/26/2021,"",61515fa3db99b972a4f8bd19,Frye Heidi Stud Fringe Tote - Black,Women,Bags,Totes,Frye,Black,OS,N,Y,N,"",$193.00,$215.00,$1.50,$0.00,$0.00,$0.00,$0.00,$152.90,MS,39047,againey12,$13.51,$0.00,"",
09/07/2021,09/22/2021,"",614bb00e4e46e171d9f6e04e,Frye Heidi Fringe Hobo - whiskey (brown),Women,Bags,Hobos,Frye,Brown,OS,N,Y,N,"",$200.00,$250.00,$1.50,$0.00,$0.00,$0.00,$0.00,$158.50,KS,67801,awhit4,$17.82,$0.00,"",
09/08/2021,09/24/2021,"",614ec7598a92fb517a51e23e,"Aquatalia Slip on, tan, Sz 9",Men,Shoes,Loafers & Slip-Ons,Aquatalia,"Tan,Brown",9,N,Y,N,"",$65.00,$85.00,$1.50,$0.00,$0.00,$0.00,$0.00,$50.50,TX,78666,wbair01,$5.86,$0.00,"",
08/17/2021,09/26/2021,"",6150c0b3878a46cc0b2ca372,🆕Basic USC Tactel Cap - red,Men,Accessories,Hats,"","Red,Yellow",OS,N,N,Y,"",$28.00,$28.00,$7.45,$0.00,$0.00,$0.00,$0.00,$14.95,CA,91604,jenkramer612,$2.66,$0.00,"",
07/10/2021,09/30/2021,"",61561a3ffb7af4f871d2c918,"Pittsburgh Penguins Hockey Jersey, sz S",Women,Tops,Jerseys,Reebok,"Black,Gold",S,N,Y,N,"",$24.00,$30.00,$0.00,$0.00,$0.00,$0.00,$0.00,$19.20,SC,29316,mary16201987,$2.20,$0.00,"",
07/16/2021,10/03/2021,"",6159dad002c1874800991ee3,Frye Ilana Perf Saddle Crossbody (Gry/Blue),Women,Bags,Crossbody Bags,Frye,"",OS,N,Y,N,"",$110.00,$145.00,$2.46,$0.00,$0.00,$0.00,$0.00,$85.54,OH,44040,cindyr713,$9.21,$0.00,"",
08/12/2021,09/29/2021,"",6154ccb8576006fb0753cda9,Frye Jenny Satchel - Burnt Red,Women,Bags,Satchels,Frye,Red,OS,N,N,N,"",$210.00,$210.00,$7.45,$0.00,$0.00,$0.00,$0.00,$160.55,WI,54235-8135,324selizabeth,$11.55,$0.00,"",
09/01/2021,10/02/2021,"",6158df453a1c1221185932e4,"Frye Amy Zip Satchel, cognac",Women,Bags,Satchels,Frye,Brown,OS,N,Y,N,"",$160.00,$208.00,$1.50,$0.00,$0.00,$0.00,$0.00,$126.50,WY,82520,slilygren,$8.80,$0.00,"",
09/10/2021,10/10/2021,"",6162f96aa9598f8724ffbc44,"🆕wob Frye Campus Harness clog, yellow, Sz 9",Women,Shoes,Mules & Clogs,Frye,Yellow,9,N,Y,N,"",$91.00,$130.00,$1.50,$0.00,$0.00,$0.00,$0.00,$71.30,NJ,08807,deln1ugx1peewuh,$0.00,$0.00,This sale is exempt from sales tax.,
08/20/2021,10/08/2021,"",6160437d19501715fc745aaf,Frye Campus Hip Pack - green,Women,Bags,Travel Bags,Frye,Green,OS,N,Y,N,"",$100.00,$120.00,$1.50,$0.00,$0.00,$0.00,$0.00,$78.50,FL,33050,deanjill,$7.95,$0.00,"",
08/20/2021,10/12/2021,"",616632c1f9c382b437aaf39b,"🆕 Vionic Kanela slouch bootie, Sz 8, sand/beige",Women,Shoes,Ankle Boots & Booties,Vionic,"Cream,Tan",8,N,N,N,"",$78.00,$78.00,$1.50,$0.00,$0.00,$0.00,$0.00,$60.90,ND,58374,alysonmyhre,$4.20,$0.00,"",
09/29/2021,10/16/2021,"",616afb5ced2f3fd60c3d1d95,"Patricia Nash velcro sneaker, brown, Sz 6 (Milla)",Women,Shoes,Sneakers,Patricia Nash,Brown,6,N,Y,N,"",$50.00,$90.00,$1.50,$0.00,$0.00,$0.00,$0.00,$38.50,WI,53211,33waves,$3.08,$0.00,"",
09/10/2021,10/20/2021,"",617015cc468232b4af457aac,"🆕wob Coach Stiletto, silver/gold-ish, Sz 6",Women,Shoes,Heels,Coach,"Silver,Gold",6,N,Y,N,"",$40.00,$50.00,$1.50,$0.00,$0.00,$0.00,$0.00,$30.50,NC,28210,cocossm78,$3.33,$0.00,"",
09/24/2021,10/17/2021,"",616c426b8d9be984b4b060ac,"🆕wob Vionic Ema, blue/pink, sz 8",Women,Shoes,Sneakers,Vionic,"Pink,Blue",8,N,N,N,"",$60.00,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$48.00,MD,21048,caseyhuether,$3.60,$0.00,"",
08/19/2020,10/19/2021,"",616f78cd5462c362db614a09,🆕ThiEYE dashcam,Home,Other,"","",Black,OS,N,N,Y,"",$32.00,$32.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.60,NY,10463-2803,august3910,$2.84,$0.00,"",
08/08/2021,10/19/2021,"",616fa4bed4c4e8f629989f86,"Frye Criss Cross slides, tan, Sz 6",Women,Shoes,Sandals,Frye,Tan,6,N,Y,N,"",$50.00,$90.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,GA,30161,clmsams,$4.02,$0.00,"",
08/17/2021,10/23/2021,"",6174882cf065fe475b461031,"🆕Vionic Norah Suede Mocassin, Sz 8, Fig",Women,Shoes,Moccasins,Vionic,Purple,8,N,N,N,"",$42.00,$42.00,$7.45,$0.00,$0.00,$0.00,$0.00,$26.15,WV,25550,spiral7,$2.52,$0.00,"",
08/20/2021,10/26/2021,"",6178f580a829737b66781c42,Frye Belle Bohemian Hobo - Indigo,Women,Bags,Hobos,Frye,Blue,OS,N,Y,N,"",$130.00,$185.00,$1.50,$0.00,$0.00,$0.00,$0.00,$102.50,HI,96744,yoshiepickles,$6.12,$0.00,"",
08/25/2021,11/01/2021,"",617febc7d5ebc4e99f9ce8e8,"🆕Coach Fredrica Nubuck Loafer, Black, Sz 7",Women,Shoes,Flats & Loafers,Coach,Black,7,N,Y,Y,"",$70.00,$90.00,$1.50,$0.00,$0.00,$0.00,$0.00,$54.50,DC,20003,rlayher,$4.56,$0.00,"",
09/05/2021,11/08/2021,"",61895d8da1d413cd5282339c,"Colleen Cordero platform clog, Sz 6, tan w studs",Women,Shoes,Mules & Clogs,Calleen Cordero,"Tan,Brown",6,N,Y,N,"",$55.00,$80.00,$2.46,$0.00,$0.00,$0.00,$0.00,$41.54,MA,02540,caligirl_east,$0.00,$0.00,This sale is exempt from sales tax.,
03/29/2020,11/13/2021,"",618fc2b48f43b3f6322a34cc,NWOT Frye Casey Mini Tote - Charcoal (brwn/grey),Women,Bags,Crossbody Bags,Frye,"Brown,Gray",OS,N,Y,N,"",$80.00,$135.00,$0.00,$0.00,$0.00,$0.00,$0.00,$64.00,GA,30318,shophollyblue,$7.78,$0.00,"",
09/09/2021,11/12/2021,"",618f2ecd70e9989dfe36a241,"Frye Ivy Nylon Tote, blk/brown",Women,Bags,Totes,Frye,"Black,Brown",OS,N,Y,N,"",$100.00,$139.00,$1.50,$0.00,$0.00,$0.00,$0.00,$78.50,NM,87114,coreyclark719,$6.82,$0.00,"",
09/24/2021,11/18/2021,"",6196db37d872b4309d0134ce,"Frye Veronica boots, Sz 6, green",Women,Shoes,"",Frye,Green,6,N,Y,N,"",$133.00,$148.00,$1.50,$0.00,$0.00,$0.00,$0.00,$104.90,MO,65714-8133,amyapplethomp,--,,State does not currently impose a sales tax.,
05/28/2020,11/21/2021,"",619b1cafb721a14f1e8a8007,Frye Casey NS Tote - charcoal (dark brownish grey),Women,Bags,Totes,Frye,"Gray,Brown",OS,N,N,N,"",$196.00,$196.00,$0.00,$0.00,$0.00,$0.00,$0.00,$156.80,FL,34249,asw77,$0.00,$0.00,This sale is exempt from sales tax.,
09/24/2021,11/28/2021,"",61a4799c7a250226aa05054b,"NWOB Vionic Blaine Slip On, blk, Sz 9",Women,Shoes,"",Vionic,Black,9,N,Y,N,"",$40.00,$48.00,$1.50,$0.00,$0.00,$0.00,$0.00,$30.50,NY,13605,cmael633,$1.84,$0.00,"",
08/09/2021,12/05/2021,"",61ac80488d978454aca63b6a,"🆕Frye Logan Slim Zip Briefcase, Moss (dark green)",Men,Bags,Briefcases,Frye,"Green,Black",OS,N,Y,N,"",$185.00,$230.00,$0.00,$0.00,$0.00,$0.00,$0.00,$148.00,GA,30361,maathew1,$17.13,$0.00,"",
08/18/2019,12/06/2021,"",61aeae99e41fe0defb5f2f68,Fingerless Shearling Suede Gloves FRYE- Sm Size,Women,Accessories,Gloves & Mittens,Frye,"Black,Gray",OS,N,Y,N,"",$74.00,$88.00,$0.00,$0.00,$0.00,$0.00,$0.00,$59.20,RI,02860,thunderrainy,$0.00,$0.00,This sale is exempt from sales tax.,""
09/08/2019,12/10/2021,"",61b3de9d5c6ef60cb708e82a,Rebecca Minkoff MAB Mini Satchel Bag // Black,Women,Bags,Satchels,Rebecca Minkoff,Black,OS,N,Y,N,"",$100.00,$110.00,$0.00,$0.00,$0.00,$0.00,$0.00,$80.00,RI,02915,autumnejole,$7.52,$0.00,"",
09/13/2020,01/16/2022,"",61e469455cd1fb7767525fd8,Awapuhi Wild Ginger Texturizing Sea Spray,Women,Hair,Styling,Paul Mitchell,Black,OS,N,Y,N,"",$8.00,$15.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.05,MD,21842,tonypaints,$0.48,$0.00,"",
09/05/2021,02/06/2022,"",6200470a8a92fbda69a1f89b,"Frye Lace Up Boots, brown multi, sz9",Men,Shoes,Boots,Frye,Brown,9,N,Y,N,"",$80.00,$115.00,$1.50,$0.00,$0.00,$0.00,$0.00,$62.50,NY,10460,dogmomof3furrys,$0.00,$0.00,This sale is exempt from sales tax.,
07/28/2021,02/27/2022,"",621c53abef34d3b8837747b8,Frye Harness Tassle Clutch - black,Women,Bags,Clutches & Wristlets,Frye,"Black,Silver",OS,N,Y,N,"",$80.00,$110.00,$2.68,$0.00,$0.00,$0.00,$0.00,$61.32,VA,23009,schwenpa,$4.24,$0.00,"",
09/01/2021,03/07/2022,"",62266f2d9c0cab3ce8627323,"🆕Pikolinos Perf bucket bag, brown",Women,Bags,Crossbody Bags,PIKOLINOS,Brown,OS,N,N,Y,"",$150.00,$150.00,$1.72,$0.00,$0.00,$0.00,$0.00,$118.28,WI,54303,xa4ice,$8.58,$0.00,"",
09/05/2021,03/19/2022,"",6236298b8d978486615a5978,"Frye Veronica Slouch Tall, Whiskey, sz 9",Women,Shoes,Combat & Moto Boots,Frye,Brown,9,N,Y,N,"",$92.00,$150.00,$1.72,$0.00,$0.00,$0.00,$0.00,$71.88,MD,21015,apollonia90,$5.52,$0.00,"",
08/31/2021,03/29/2022,"",62432f0dcdb4784af7ff226c,"🆕wob Lewit FilipponMule - mustard (yellow), Sz 37",Women,Shoes,Mules & Clogs,Lewit,Yellow,37EU,N,Y,N,"",$58.00,$65.00,$1.72,$0.00,$0.00,$0.00,$0.00,$44.68,TX,78640,hattiepotomous,$5.28,$0.00,"",
07/21/2021,03/30/2022,"",624517f0b30d6949a832a5f3,"Coach C logo bracelet, Blk, white, gold",Women,Jewelry,Bracelets,Coach,"Black,Gold",OS,N,Y,N,"",$36.00,$50.00,$7.67,$0.00,$0.00,$0.00,$0.00,$21.13,NC,28213,bmb0323,$2.61,$0.00,"",
09/25/2021,04/02/2022,"",6248e8f289a0eac8d3d823b8,"🆕wob Frye Anna Mid Pull On boot, dark brown, Sz 6",Women,Shoes,"",Frye,Brown,6,N,Y,N,"",$90.00,$120.00,$1.72,$0.00,$0.00,$0.00,$0.00,$70.28,WA,98236,lyndagmail,$8.35,$0.00,"",
08/16/2021,04/09/2022,"",625149f68d97840f43b6c425,"🆕WOB Lewit Alessia Ruffle Flat, Sz 37, Fuschia",Women,Shoes,Flats & Loafers,Lewit,Pink,37EU,N,Y,N,"",$60.00,$75.00,$7.67,$0.00,$0.00,$0.00,$0.00,$40.33,MS,39361,paigepete91,$4.20,$0.00,"",
09/05/2021,04/19/2022,"",625f271dfdea1b628790181c,"Jimmy Choo heel sandal slip on, Black/snake,Sz 37",Women,Shoes,Sandals,Jimmy Choo,Black,37EU,N,Y,N,"",$106.00,$125.00,$1.72,$0.00,$0.00,$0.00,$0.00,$83.08,VA,23834,lilhiggy17,$6.36,$0.00,"",
08/14/2021,04/21/2022,"",6261ac0d4682326f0b2afdc2,"Prada Platform wedge sandal, Black, 36/Sz 6",Women,Shoes,Sandals,Prada,Black,36EU,N,Y,N,"",$110.00,$150.00,$0.00,$0.00,$0.00,$0.00,$0.00,$88.00,CA,91801,astercham,$11.29,$0.00,"",
08/31/2021,05/10/2022,"",627a5beef9de51ae3cff652c,"🆕wob Frye West Woven Driver, Brown, Sz 9",Men,Shoes,Loafers & Slip-Ons,Frye,Brown,9,N,Y,N,"",$60.00,$90.00,$1.72,$0.00,$0.00,$0.00,$0.00,$46.28,FL,33027,jackson_jacob,$4.62,$0.00,"",
08/23/2021,05/19/2022,"",628687541e75a86b9202b5d4,"🆕wob Aquatalia Flats, blue, Sz 6.5",Women,Shoes,Flats & Loafers,Aquatalia,Blue,6.5,N,N,N,"",$70.00,$70.00,$2.68,$0.00,$0.00,$0.00,$0.00,$53.32,NY,10304,vaade2017,$0.00,$0.00,This sale is exempt from sales tax.,
08/25/2021,05/27/2022,"",629078b43b4978382f959083,"Frye x Matt Shultz Bruce Pull On, Black, sz 6",Women,Shoes,Heeled Boots,Frye,"Red,Black",6,N,Y,N,"",$160.00,$180.00,$1.72,$0.00,$0.00,$0.00,$0.00,$126.28,NY,11225,parissrosee,$14.73,$0.00,"",
08/15/2019,05/25/2022,"",628f0de78f43b35ecbd7272c,"🆕 Aquatalia by Marvin K. Delight, Stone, Sz 7.5",Women,Shoes,Sandals,Aquatalia,Gray,7.5,N,Y,Y,"",$50.00,$81.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,NJ,07716,consiax,$0.00,$0.00,This sale is exempt from sales tax.,
09/09/2021,06/27/2022,"",62b9d41fa1d41356856df634,"💫🌟HP ITEM!💫⭐️ 🥳 Frye Parker backpack, Navy",Women,Bags,Backpacks,Frye,Blue,OS,N,Y,N,"",$185.00,$210.00,$1.72,$0.00,$0.00,$0.00,$0.00,$146.28,UT,84015,maddiclifford,$13.23,$0.00,"",
02/27/2022,07/26/2022,"",62e02eb945d731dcd71a1fa7,🆕C. Wonder “S” white jewelry box,Home,Other,"",C. Wonder,"White,Gold",OS,N,Y,Y,"",$25.00,$35.00,$7.67,$0.00,$0.00,$0.00,$0.00,$12.33,IL,60134,denhub,$2.00,$0.00,"",
09/04/2021,07/30/2022,"",62e5c7f1f9de51b84dd40b38,"🆕Lewit Rosa Heel, white, Sz 37",Women,Shoes,Heels,Lewit,White,37EU,N,Y,Y,"",$45.00,$95.00,$2.68,$0.00,$0.00,$0.00,$0.00,$33.32,OR,97035,kelsea_77,--,,State does not currently impose a sales tax.,
08/17/2021,08/07/2022,"",62efd04078b9e8125157d1c6,"Cole Haan velcro slip on, Sz 9, brown/orange",Men,Shoes,Loafers & Slip-Ons,Cole Haan,"Orange,Brown",9,N,Y,N,"",$24.00,$40.00,$0.00,$0.00,$0.00,$0.00,$0.00,$19.20,ME,04856,wackypackages,$1.32,$0.00,"",
09/13/2020,08/06/2022,"",62eed70f57357c29d0156ce6,"NWOB Frye Addie Double Zip - Whiskey, Sz 7.5",Women,Shoes,Ankle Boots & Booties,Frye,Brown,7.5,N,Y,N,"",$115.00,$130.00,$1.72,$0.00,$0.00,$0.00,$0.00,$90.28,MO,65201,marvelous_pigs,--,,State does not currently impose a sales tax.,
08/12/2022,08/13/2022,"",62f72f2966e9b6a0813cbfd9,"🆕wob Frye Campus Stitching horse, saddle, Sz 6.5",Women,Shoes,Heeled Boots,Frye,"Brown,Tan",6.5,N,Y,N,"",$150.00,$206.00,$1.72,$0.00,$0.00,$0.00,$0.00,$118.28,OH,44102,nowandthen_,$12.48,$0.00,"",
08/25/2021,09/19/2022,"",6328d98fc6fd89ac8481ab30,"Frye Deborah Studded Crossbody, blk/blue",Women,Bags,Crossbody Bags,Frye,"Black,Blue",OS,N,Y,N,"",$115.00,$190.00,$0.00,$0.00,$0.00,$0.00,$0.00,$92.00,FL,32814,sumiregusa,$7.98,$0.00,"",
07/11/2021,10/06/2022,"",633f82d11fc056cf5575778c,Frye Jacqui Crossbody - Dk Brown,Women,Bags,Crossbody Bags,Frye,Brown,OS,N,Y,N,"",$130.00,$198.00,$0.00,$0.00,$0.00,$0.00,$0.00,$104.00,IL,62260,caccer86,$9.09,$0.00,"",
08/28/2022,09/28/2022,"",633537c033186716ebefdc5f,"NWT Adidas Back Plate, chrome",Men,Other,"",adidas,"Silver,Black",OS,N,Y,Y,"",$25.00,$32.00,$2.68,$0.00,$0.00,$0.00,$0.00,$17.32,OR,97080,project503,--,,State does not currently impose a sales tax.,
09/24/2021,10/17/2022,"",634dd3bff4e525a3b9109ee4,"Frye boots, Sz 8, tan",Men,Shoes,Boots,Frye,Tan,8,N,Y,N,"",$120.00,$150.00,$1.72,$0.00,$0.00,$0.00,$0.00,$94.28,MN,55311,dtkutzke,$0.00,$0.00,This sale is exempt from sales tax.,
08/31/2021,11/02/2022,"",63627b0784b3073d00d7baac,"🆕Frye Gabe woven slip on, brown, Sz 9",Men,Shoes,Loafers & Slip-Ons,Frye,Brown,9,N,N,N,"",$100.00,$100.00,$1.72,$0.00,$0.00,$0.00,$0.00,$78.28,MI,49456,conwakr,$6.36,$0.00,"",
08/19/2021,10/30/2022,"",635e7a3c65df9fa0fdbb296f,"🆕wob M. Gemi Ankle Bootie, Black, Sz 37",Women,Shoes,Ankle Boots & Booties,M. Gemi,Black,37EU,N,Y,N,"",$102.00,$95.00,$1.72,$0.00,$0.00,$0.00,$0.00,$79.88,NY,13204,hjzahn,$4.32,$0.00,"",
08/01/2022,10/24/2022,"",6356a19c93db23fa112def8b,"Calvin Klein wedge, Sz 8, saddle (brown)",Women,Shoes,Wedges,Calvin Klein,Brown,8,N,Y,N,"",$40.00,$55.00,$7.67,$0.00,$0.00,$0.00,$0.00,$24.33,FL,33301,gobluechick,$2.80,$0.00,"",
08/20/2021,12/28/2022,"",63ac4ac1301d9bbfe83d8aa3,"🆕wob Frye Graham Stitch Tall, Chestnut, Sz 7.5",Men,Shoes,Cowboy & Western Boots,Frye,"Brown,Tan",7.5,N,Y,N,"",$130.00,$150.00,$1.72,$0.00,$0.00,$0.00,$0.00,$102.28,TX,78212,mjctexas,$11.22,$0.00,"",
08/17/2021,01/26/2023,"",63d2cfcc6665f32cbcdce9fa,"🆕wob Taryn Rose Danielle walking shoe, Pink, Sz 7",Women,Shoes,Flats & Loafers,Taryn Rose,Pink,7,N,N,N,"",$50.00,$50.00,$0.00,$0.00,$0.00,$0.00,$0.00,$40.00,CO,80023,lifenchao,$4.08,$0.00,"",
